"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","si-4377-linux",,,,"User:","brooksch"
"Cmdline:","dstat -tc --output dstat_si330.csv",,,,"Date:","19 Oct 2019 16:19:07 EDT"

"system","total cpu usage",,,,,
"time","usr","sys","idl","wai","hiq","siq"
19-10 16:19:07,4.034,0.688,95.131,0.138,0.0,0.008
19-10 16:19:08,0.754,0.251,98.995,0.0,0.0,0.0
19-10 16:19:09,7.955,0.505,91.288,0.253,0.0,0.0
19-10 16:19:10,21.717,4.545,61.364,12.121,0.0,0.253
19-10 16:19:11,5.675,3.909,78.815,11.475,0.0,0.126
19-10 16:19:12,17.224,4.957,72.986,4.833,0.0,0.0
19-10 16:19:13,18.127,4.623,75.912,1.217,0.0,0.122
19-10 16:19:14,9.634,14.878,73.902,1.585,0.0,0.0
19-10 16:19:15,3.265,14.148,79.807,2.781,0.0,0.0
19-10 16:19:16,3.680,2.919,90.355,2.919,0.0,0.127
19-10 16:19:17,3.050,3.050,93.266,0.635,0.0,0.0
19-10 16:19:18,3.402,4.374,91.859,0.365,0.0,0.0
19-10 16:19:19,4.563,10.646,78.200,6.464,0.0,0.127
19-10 16:19:20,6.500,5.500,83.625,4.125,0.0,0.250
19-10 16:19:21,7.809,10.202,79.093,2.897,0.0,0.0
19-10 16:19:22,13.418,3.924,81.899,0.759,0.0,0.0
19-10 16:19:23,3.759,2.130,93.734,0.376,0.0,0.0
19-10 16:19:24,5.257,4.380,90.238,0.125,0.0,0.0
19-10 16:19:25,10.427,9.925,74.246,5.025,0.0,0.377
19-10 16:19:26,15.783,7.152,72.626,4.316,0.0,0.123
19-10 16:19:27,10.388,7.259,81.602,0.501,0.0,0.250
19-10 16:19:28,4.494,2.247,93.134,0.0,0.0,0.125
19-10 16:19:29,9.512,3.755,86.608,0.125,0.0,0.0
19-10 16:19:30,8.228,4.051,87.722,0.0,0.0,0.0
19-10 16:19:31,3.648,1.635,94.717,0.0,0.0,0.0
19-10 16:19:32,6.431,2.144,91.047,0.252,0.0,0.126
19-10 16:19:33,3.549,1.267,95.184,0.0,0.0,0.0
19-10 16:19:34,2.258,1.380,96.361,0.0,0.0,0.0
19-10 16:19:35,3.625,1.500,94.750,0.125,0.0,0.0
19-10 16:19:36,1.763,1.008,97.229,0.0,0.0,0.0
19-10 16:19:37,1.880,0.877,97.118,0.125,0.0,0.0
19-10 16:19:38,1.385,0.756,97.859,0.0,0.0,0.0
19-10 16:19:39,1.882,1.506,96.612,0.0,0.0,0.0
19-10 16:19:40,3.504,1.252,94.994,0.250,0.0,0.0
19-10 16:19:41,1.995,1.247,96.758,0.0,0.0,0.0
19-10 16:19:42,4.651,3.305,91.922,0.122,0.0,0.0
19-10 16:19:43,3.704,1.605,94.691,0.0,0.0,0.0
19-10 16:19:44,12.250,3.625,80.875,3.0,0.0,0.250
19-10 16:19:45,6.220,1.951,91.829,0.0,0.0,0.0
19-10 16:19:46,9.001,4.069,86.806,0.123,0.0,0.0
19-10 16:19:47,2.774,1.513,95.586,0.126,0.0,0.0
19-10 16:19:48,4.0,2.0,94.0,0.0,0.0,0.0
19-10 16:19:49,2.500,2.0,95.250,0.250,0.0,0.0
19-10 16:19:50,9.661,1.255,89.084,0.0,0.0,0.0
19-10 16:19:51,15.511,2.396,81.463,0.504,0.0,0.126
19-10 16:19:52,3.046,2.157,94.670,0.127,0.0,0.0
19-10 16:19:53,4.828,0.762,94.282,0.127,0.0,0.0
19-10 16:19:54,4.035,0.883,94.956,0.126,0.0,0.0
19-10 16:19:55,6.464,0.887,92.522,0.127,0.0,0.0
19-10 16:19:56,3.755,0.876,95.244,0.0,0.0,0.125
19-10 16:19:57,2.387,2.513,94.849,0.251,0.0,0.0
19-10 16:19:58,3.504,1.627,94.869,0.0,0.0,0.0
19-10 16:19:59,2.144,0.378,97.478,0.0,0.0,0.0
